#options: 800x800 fps=40/1 timebase=1/40 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=8192 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:19.67 aq:3.96 tex:121723 mv:18332 misc:129 imb:2500 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:19.77 aq:12.78 tex:148151 mv:5285 misc:572 imb:290 pmb:226 smb:1984 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:19.77 aq:11.10 tex:72715 mv:8085 misc:536 imb:41 pmb:446 smb:2013 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:19.77 aq:12.73 tex:37747 mv:6443 misc:602 imb:23 pmb:405 smb:2072 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:19.77 aq:12.21 tex:42546 mv:6726 misc:584 imb:15 pmb:443 smb:2042 d:- ref:0 ;
in:6 out:5 type:P dur:2 cpbdur:2 q:19.51 aq:7.62 tex:129996 mv:5714 misc:458 imb:156 pmb:364 smb:1980 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:19.64 aq:13.97 tex:43347 mv:6975 misc:606 imb:11 pmb:453 smb:2036 d:- ref:0 ;
in:9 out:7 type:P dur:2 cpbdur:2 q:19.41 aq:6.57 tex:180416 mv:6270 misc:474 imb:266 pmb:319 smb:1915 d:- ref:0 ;
in:7 out:8 type:B dur:2 cpbdur:2 q:19.48 aq:12.08 tex:71079 mv:8501 misc:572 imb:13 pmb:509 smb:1978 d:- ref:0 ;
in:8 out:9 type:b dur:2 cpbdur:2 q:19.45 aq:12.95 tex:52166 mv:8130 misc:544 imb:8 pmb:514 smb:1978 d:- ref:0 ;
in:11 out:10 type:P dur:2 cpbdur:2 q:19.29 aq:6.74 tex:167258 mv:6392 misc:526 imb:226 pmb:421 smb:1853 d:- ref:0 ;
